city,population_proper
"Fairview Beach, VA",
"Lunenburg, VA",
"Mustoe, VA",
"Chilhowie, VA",1721.0
"Newington, VA",
"Greenbush, VA",
"Glen Lyn, VA",118.0
"Ridgeway, VA",697.0
"Gargatha, VA",
"Massanutten, VA",
"Rustburg, VA",
"Providence Forge, VA",
"Boykins, VA",542.0
"Lee Mont, VA",
"Monterey, VA",136.0
"Dungannon, VA",310.0
"Wilderness, VA",
"Allisonia, VA",
"Rose Hill, VA",
"Bowling Green, VA",1167.0
"Mappsville, VA",
"Mountain Road, VA",
"Virginia Beach, VA",452602.0
"Toms Brook, VA",262.0
"Boston, VA",
"Elliston, VA",
"Gordonsville, VA",1583.0
"Montvale, VA",
"Mount Hermon, VA",
"Occoquan, VA",1061.0
"Craigsville, VA",935.0
"Herndon, VA",24393.0
"Troutville, VA",431.0
"Greenbackville, VA",
"Zuni, VA",
"Manakin, VA",
"McDowell, VA",
"Glasgow, VA",1116.0
"Hayfield, VA",
"Timberville, VA",2640.0
"Jetersville, VA",
"Countryside, VA",
"Mount Crawford, VA",452.0
"Woolwine, VA",
"Eagle Rock, VA",
"Crystal Hill, VA",
"Stonega, VA",
"Edgerton, VA",
"Arrington, VA",
"Carrollton, VA",
"Gore, VA",
"Acorn, VA",
"Bastian, VA",
"Stafford, VA",
"Hanover, VA",
"Woodlake, VA",
"Fort Mitchell, VA",
"Augusta Springs, VA",
"Chesapeake, VA",237940.0
"Metompkin, VA",
"Maurertown, VA",
"Tappahannock, VA",2386.0
"Yale, VA",
"New Baltimore, VA",
"Syria, VA",
"Idylwood, VA",
"Urbanna, VA",470.0
"Haysi, VA",474.0
"Virgilina, VA",142.0
"Mouth of Wilson, VA",
"Round Hill, VA",659.0
"Williamsville, VA",
"Whitesville, VA",
"Catlett, VA",
"Ebony, VA",
"Coeburn, VA",1986.0
"Bassett, VA",
"Purcellville, VA",9469.0
"Arlington, VA",
"Blackstone, VA",3453.0
"New River, VA",
"Twin Lakes, VA",
"Stanleytown, VA",
"Appalachia, VA",1654.0
"Heathsville, VA",
"Covington, VA",5518.0
"Amonate, VA",
"Charlottesville, VA",46912.0
"Rural Retreat, VA",1480.0
"Vansant, VA",
"Smithfield, VA",8435.0
"Lake Monticello, VA",
"Villa Heights, VA",
"West Springfield, VA",
"Waverly, VA",2050.0
